model -1589867511,1589867513.188,0.52,0.2499,0.5,0.2502
model -1589867511,1589867513.429,0.55,0.2485,0.5,0.2512
model -1589867511,1589867513.735,0.44,0.2559,0.49,0.2514
model -1589867511,1589867513.996,0.43,0.2554,0.52,0.2495
model -1589867511,1589867514.243,0.54,0.2494,0.49,0.2505
model -1589867511,1589867514.479,0.52,0.2499,0.5,0.2499
model -1589867511,1589867514.723,0.51,0.2492,0.46,0.2504
model -1589867511,1589867514.959,0.51,0.2497,0.49,0.2504
model -1589867511,1589867515.191,0.4,0.2528,0.64,0.2486
model -1589867511,1589867515.419,0.53,0.2503,0.57,0.2494
model -1589867511,1589867515.645,0.47,0.2502,0.49,0.25
model -1589867511,1589867515.868,0.45,0.2506,0.5,0.2498
model -1589867511,1589867516.112,0.47,0.2506,0.45,0.2505
model -1589867511,1589867516.339,0.49,0.2499,0.54,0.2492
model -1589867511,1589867516.547,0.54,0.2491,0.48,0.25
model -1589867511,1589867516.757,0.5,0.2497,0.56,0.2489
model -1589867511,1589867516.967,0.53,0.2493,0.56,0.2491
model -1589867511,1589867517.187,0.48,0.2499,0.52,0.2494
model -1589867511,1589867517.39,0.69,0.2487,0.48,0.2494
model -1589867511,1589867517.596,0.53,0.2489,0.44,0.2516
model -1589867511,1589867517.797,0.53,0.2472,0.49,0.2482
model -1589867511,1589867518.006,0.48,0.2522,0.5,0.249
model -1589867511,1589867518.223,0.53,0.2473,0.48,0.2533
model -1589867511,1589867518.428,0.63,0.2394,0.48,0.2573
model -1589867511,1589867518.637,0.48,0.2553,0.51,0.2523
model -1589867511,1589867518.84,0.47,0.2568,0.42,0.2557
model -1589867511,1589867519.047,0.58,0.2427,0.49,0.2506
model -1589867511,1589867519.262,0.41,0.2523,0.52,0.2497
model -1589867511,1589867519.463,0.46,0.2514,0.61,0.2483
model -1589867511,1589867519.667,0.43,0.2506,0.45,0.2499
model -1589867511,1589867519.878,0.57,0.2482,0.48,0.2505
model -1589867511,1589867520.092,0.44,0.2513,0.45,0.2512
model -1589867511,1589867520.308,0.54,0.2483,0.5,0.2497
model -1589867511,1589867520.509,0.39,0.2536,0.52,0.2485
